id,variant_id,text,true_label,pred_label,confidence_x,prob_0,prob_1,prob_2,prob_3,prompt_id,ci_score,sri_score,csi_type,sri_grade,is_error,confidence_y,entropy,difficulty,is_ambiguous,requires_review,training_action,behavior
agnews_0000,base,"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute.",Sports,Sports,0.9995384216308594,0.0003101098700426,0.9995384216308594,0.0001068208148353,4.468340557650663e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0000,v1,"IGXian board plans own t3,ecast of Audt#alia xeriez The Indian srick3t board said on Wednesday it was NAking arrangements on its own to broadcast next joMth # 39; s t@sy series against Australia, whlcY is under 4hgeat because of a raging TV rights dispute.",Sports,Sports,0.9995381832122804,0.0002563306188676,0.9995381832122804,0.0001514157484052,5.410647645476274e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0000,v2,"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute..",Sports,Sports,0.9995383024215698,0.0003094634448643,0.9995383024215698,0.0001069903373718,4.525005715549924e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0000,v3,"Board indian plans own telecast of Australia series The Indian cricket board said Wednesday on it making was on arrangements its own to broadcast next # month 39; test s series against Australia, which is under because threat of a raging TV rights. dispute",Sports,Sports,0.999538779258728,0.0003095190622843,0.999538779258728,0.0001070381476893,4.466228710953146e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0001,base,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday.,Business,Business,0.9983713030815125,0.0008560207206755,6.885637412779033e-05,0.9983713030815125,0.000703883881215,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0001,v1,Stocks Higher on Drop in UIbless C:a&ms A sYarO FroL in ijitiaO unemployment claims and bullish forecasts from Nokia and Texas Instruments sent st9Dks dlightoy higTfr in early trawiMg 5hursdaH.,Business,Business,0.9984442591667176,0.0007838084711693,7.708626799285412e-05,0.9984442591667176,0.0006948341615498,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0001,v2,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday..,Business,Business,0.9981775283813475,0.0010573423933237,6.539929745486006e-05,0.9981775283813475,0.0006997809978201,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0001,v3,Stocks Higher on in Drop Jobless Claims A sharp drop in initial claims unemployment and bullish forecasts from Nokia and Texas sent Instruments slightly stocks higher in early Thursday trading.,Business,Business,0.9983922839164734,0.0008535007364116,7.046090468065813e-05,0.9983922839164734,0.0006837176624685,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0002,base,"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",Sports,Sports,0.9995383024215698,0.0003112624399363,0.9995383024215698,0.000105924125819,4.4620843254961073e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0002,v1,"Nhgyets 112, Rapt(gs 106 Carkeoo anth)ny Acor4d 30 oointw and KenykG Martin added 24 points and 16 rebounds, telpinR the Denver Nuggets hold off the Tor*nyo Raptors 112 - 106 AednesdaU night.",Sports,Sports,0.9995394945144652,0.0003088658559136,0.9995394945144652,0.0001069066202035,4.48481114290189e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0002,v2,"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping teh Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",Sports,Sports,0.9995380640029908,0.0003114303981419,0.9995380640029908,0.0001059119749697,4.461602293304168e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0002,v3,"112 nuggets, Raptors 106 Carmelo scored Anthony 30 points and Kenyon Martin added points 24 and rebounds 16, the helping Denver Nuggets hold off the Raptors Toronto 112 - 106 night Wednesday.",Sports,Sports,0.9995381832122804,0.0003112389531452,0.9995381832122804,0.0001060041468008,4.451670611160807e-05,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0003,base,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,Business,Business,0.9983568787574768,0.0008671334944665,6.764373392798007e-05,0.9983568787574768,0.0007083333330228,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
agnews_0003,v1,Stocks Higher on Drop in JovlesW dla*ms A sharp drop in initial unDKployment Dlaima and bullish forecasts dfom Nokia and TeDax Igstrumente sent sGockq GJgher in early trading Thursday.,Business,Business,0.9984311461448668,0.0007600402459502,7.457478204742074e-05,0.9984311461448668,0.0007342609460465,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
