id,variant_id,premise,hypothesis,text,true_label,pred_label,confidence_x,prob_entailment,prob_neutral,prob_contradiction,prompt_id,ci_score,sri_score,csi_type,sri_grade,is_error,confidence_y,entropy,difficulty,is_ambiguous,requires_review,training_action,behavior
mnli_0000,base,"You have chosen the one point that to my mind tells against him.""",Your point is in his favor.,"You have chosen the one point that to my mind tells against him."" [SEP] Your point is in his favor.",contradiction,contradiction,0.9976266026496888,0.001197264296934,0.001176148885861,0.9976266026496888,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0000,v1,"You have chosen the one point that to my mind tells against him.""",Your lo&nt is in his fxdor.,"You have chosen the one point that to my mind tells against him."" [SEP] Your lo&nt is in his fxdor.",contradiction,neutral,0.7339236736297607,0.1179566383361816,0.7339236736297607,0.1481197476387024,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0000,v2,"You have chosen the one point that to my mind tells against him.""",Your point is in his favor..,"You have chosen the one point that to my mind tells against him."" [SEP] Your point is in his favor..",contradiction,contradiction,0.997900128364563,0.0010126846609637,0.0010871900012716,0.997900128364563,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0000,v3,"You have chosen the one point that to my mind tells against him.""",Your point in is favor his.,"You have chosen the one point that to my mind tells against him."" [SEP] Your point in is favor his.",contradiction,contradiction,0.995972216129303,0.0022648351732641,0.0017628638306632,0.995972216129303,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0001,base,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis.",LSC will receive additional information on the ability of grantees,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis. [SEP] LSC will receive additional information on the ability of grantees",entailment,entailment,0.9850135445594788,0.9850135445594788,0.0137397442013025,0.0012467397609725,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0001,v1,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis.",LSC wii/ redFive additional information on the ability of grantees,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis. [SEP] LSC wii/ redFive additional information on the ability of grantees",entailment,neutral,0.8761171698570251,0.0420956723392009,0.8761171698570251,0.0817871987819671,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0001,v2,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis.",LSC will receive additional information on teh ability of grantees,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis. [SEP] LSC will receive additional information on teh ability of grantees",entailment,entailment,0.97665137052536,0.97665137052536,0.0208966825157403,0.0024519488215446,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0001,v3,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis.",LSC receive will additional on information the ability of grantees,"LSC will receive additional information on the ability of grantees to leverage federal dollars using an estimate of cases funded exclusively with federal resources, through this methodology, although it is a less than perfect method of analysis. [SEP] LSC receive will additional on information the ability of grantees",entailment,entailment,0.99019593000412,0.99019593000412,0.0081807989627122,0.0016232604393735,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0002,base,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center.",We did not do any work at the IRS.,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center. [SEP] We did not do any work at the IRS.",contradiction,contradiction,0.999605119228363,0.0001557878131279,0.0002391523739788,0.999605119228363,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0002,v1,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center.",We did not do any wk4k at the IRS.,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center. [SEP] We did not do any wk4k at the IRS.",contradiction,contradiction,0.979175329208374,0.0037742217537015,0.0170503575354814,0.979175329208374,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0002,v2,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center.",We did not do any work at teh IRS.,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center. [SEP] We did not do any work at teh IRS.",contradiction,contradiction,0.9995310306549072,0.0001799102319637,0.0002890746982302,0.9995310306549072,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0002,v3,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center.",We do did not any work at the IRS.,"Our work at IRS was done at the Wage and Investment Division in IRS' headquarters in Washington, D.C., and at the Accounts Management, Submissions Processing, and Compliance branches at the Ogden, UT, Service Center. [SEP] We do did not any work at the IRS.",contradiction,contradiction,0.9994692206382751,0.0002076738892355,0.0003231440205127,0.9994692206382751,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0003,base,"We wanted to show that we were a part of the community and that they were a part of us, Padilla said. ",They care about the community.,"We wanted to show that we were a part of the community and that they were a part of us, Padilla said.  [SEP] They care about the community.",neutral,neutral,0.8103371858596802,0.1881726682186126,0.8103371858596802,0.0014901175163686,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
mnli_0003,v1,"We wanted to show that we were a part of the community and that they were a part of us, Padilla said. ",TJ@y cxrs about the community.,"We wanted to show that we were a part of the community and that they were a part of us, Padilla said.  [SEP] TJ@y cxrs about the community.",neutral,neutral,0.4391390085220337,0.3409542739391327,0.4391390085220337,0.2199067175388336,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
