id,variant_id,text,true_label,pred_label,confidence_x,prompt_id,ci_score,sri_score,csi_type,sri_grade,is_error,confidence_y,entropy,difficulty,is_ambiguous,requires_review,training_action,behavior
sst2_0000,base,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ",positive,positive,0.9997977614402772,sst2_0000,0.673,0.327,Type III,F,0.0,0.9998,0.0028,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0000,v1,"it frts onto the sxreeH j*Zt about as much of the novdllZ as one cIulw reZsoHably 4xoect, and is engrPqsing and n)ving in its own right.",positive,negative,0.998098075389862,sst2_0000,0.673,0.327,Type III,F,0.0,0.9998,0.0028,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0000,v2,"it gets onto teh screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ",positive,positive,0.9997513890266418,sst2_0000,0.673,0.327,Type III,F,0.0,0.9998,0.0028,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0000,v3,"it grrs og%o the screen j6zt about as much of the n9vellz as one c8upd FSasonably exoec^, and is engrossing and mKv9ng in its own tLght.",positive,positive,0.543887734413147,sst2_0000,0.673,0.327,Type III,F,0.0,0.9998,0.0028,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0001,base,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . ,positive,positive,0.9998480081558228,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0001,v1,my big fat t4eek wefdinT ^sDs stereotypes in a delightful Nlrnd of sweet romance and lovingly diEh$d out gujor.,positive,positive,0.998434841632843,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0001,v2,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . .,positive,positive,0.9998403787612916,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0001,v3,my big fat grFem SeFding uceZ stereotypes in a delightful bKenF of AQeet #omQnce and lovingly dished out humor.,positive,positive,0.998057186603546,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0002,base,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",positive,positive,0.9998251795768738,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0002,v1,"for the nosY pWrY, rirecgor anne - sophie bu%ot ' s E9rst feature is a sensitive, extraord(nar7ly w$lP - actSf drama.",positive,positive,0.9935879707336426,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0002,v2,"for teh most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",positive,positive,0.9998062252998352,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0002,v3,"for the moQF part, direftod anne - sopmOe Hi#ot ' s biEst Teat6re is a sensitive, exttaord8narily S#ll - acted drama.",positive,positive,0.6083014011383057,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0003,base,cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors . ,positive,positive,0.9996090531349182,sst2_0003,0.547,0.453,Type III,D,0.0,0.9996,0.005,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0003,v1,cq ' s reflection of aFtis6s and the love of cinema - and - self suggests nothing ldXs 6yan a new dlice 5ha5 dwservRs to be consOderes as a posZLble zuvcessor to the best european directIrQ.,positive,negative,0.708835244178772,sst2_0003,0.547,0.453,Type III,D,0.0,0.9996,0.005,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0003,v2,cq 's reflection of artists and teh love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors . ,positive,positive,0.9994575381278992,sst2_0003,0.547,0.453,Type III,D,0.0,0.9996,0.005,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0003,v3,cq ' s reflection of aetistq and the llce of cinema - and - self E*ggests nothing less thWh a new voice thqF dessrved to be donsidereE as a possible sJccSssor to the best euro(#an direDtorD.,positive,positive,0.8468760848045349,sst2_0003,0.547,0.453,Type III,D,0.0,0.9996,0.005,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0004,base,"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",positive,positive,0.9997621178627014,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0004,v1,"charles ' entdrtainiJg film chronicles seinfeld ' s return to sGZnd - up comedy after the 3ral of his l4g$ndary sitcpj, x?ongside wwnnaVe comic adZns ' wt%empts to get his sNoR at the big time.",positive,positive,0.9799265265464784,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0004,v2,"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after teh wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time . ",positive,positive,0.9997568726539612,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0004,v3,"cJar?es ' entertaining film chroHifles seinfeld ' s retKrJ to stZnv - up comedy affe$ the 35ap of his leBendWry sitcom, alongside wannabe Dokic adANs ' attempts to get his shot at the big 4iHe.",positive,positive,0.9657923579216005,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0005,base,and that leaves a hole in the center of the salton sea . ,negative,negative,0.9984146356582642,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0005,v1,and Yha^ lewbes a hole in the dFnter of the CaltIn sea.,negative,negative,0.997921884059906,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0005,v2,and that leaves a hole in teh center of the salton sea . ,negative,negative,0.9988256096839904,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0005,v3,and that leageD a h8l$ in the cen4e3 of the sa<toB sea.,negative,negative,0.9951931238174438,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0006,base,the film tunes into a grief that could lead a man across centuries . ,positive,negative,0.9631165266036988,sst2_0006,0.0588,0.9412,Type I,A,1.0,0.9631,0.2278,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0006,v1,the f8Km tunes ingL a grief that c8uId pWad a man across cen4uriWs.,positive,negative,0.9904216527938844,sst2_0006,0.0588,0.9412,Type I,A,1.0,0.9631,0.2278,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0006,v2,teh film tunes into a grief that could lead a man across centuries . ,positive,negative,0.9764983654022216,sst2_0006,0.0588,0.9412,Type I,A,1.0,0.9631,0.2278,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0006,v3,the fK?m tIGes into a grKeB %Bat could Peqd a man across centuries.,positive,negative,0.9977083206176758,sst2_0006,0.0588,0.9412,Type I,A,1.0,0.9631,0.2278,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0007,base,or doing last year 's taxes with your ex-wife . ,negative,negative,0.9917595982551576,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0007,v1,or doing /act yWa3 ' s taaws w&tu your ex - wife.,negative,negative,0.9830811619758606,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0007,v2,or doing last year 's taxes with your ex-wife . .,negative,negative,0.9900150299072266,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0007,v3,or doing last y2wr ' s tAxFs Qi4h your ex - wure.,negative,negative,0.9973579049110411,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0008,base,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",positive,positive,0.999129831790924,sst2_0008,0.628,0.372,Type III,F,0.0,0.9991,0.0101,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0008,v1,"the weight of the piece, the ine%ring professionalksN of the Dhillh Lroducti*n, and the fSsSination embedSwd in the >uriv topic proC2 recommendation enough.",positive,negative,0.939597189426422,sst2_0008,0.628,0.372,Type III,F,0.0,0.9991,0.0101,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0008,v2,"teh weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",positive,positive,0.9993106126785278,sst2_0008,0.628,0.372,Type III,F,0.0,0.9991,0.0101,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0008,v3,"the weight of the o*ece, the unerring probeqsionalism of the chilly 0r*duction, and the fasfinatiLn ekbeddeV in the lu%iV topic p3oFe r#commwndation enough.",positive,negative,0.996633231639862,sst2_0008,0.628,0.372,Type III,F,0.0,0.9991,0.0101,hard,False,False,curriculum_learning,Moderate collapse with retention failure.
sst2_0009,base,too much of it feels unfocused and underdeveloped . ,negative,negative,0.999767243862152,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0009,v1,too kucB of it fr@ls unfofuCed and underdeveloped.,negative,negative,0.999717891216278,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0009,v2,too much of it feels unfocused and underdeveloped . .,negative,negative,0.99977308511734,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0009,v3,too much of it fe#la Infocuqed and underseve:oped.,negative,negative,0.9996851682662964,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0010,base,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,negative,negative,0.996122419834137,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0010,v1,the affectionate loKpinSss that once se3mFd congenital to demme ' s perapec5ive has a tough 5Jme emerging f$)m fetweeh the baR;y xsted cutesy - pie mystery scenZGio and the newfangled hollywood post - p$oduxtion effects.,negative,negative,0.985020399093628,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0010,v2,teh affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,negative,negative,0.9984329342842102,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0010,v3,the afdectiLnate loopiness tYAt once seemed congenital to ddmje ' s perspective has a roHgh time emerging fr0H between the badly dated c TteCy - pie mystery sc$nsrio and the newfangled hPll5wood Oosh - production ecCects.,negative,negative,0.9961934089660645,,0.0,1.0,Type I,,0.0,,,easy,False,False,include,
sst2_0011,base,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",positive,negative,0.9496974349021912,sst2_0011,0.0496,0.9504,Type I,A,1.0,0.9497,0.2877,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0011,v1,"you ' ll gasp Sp0alled and lWugT outraged and p9ss8bly, watching the spectacID of a promising yoIhg lad treaX&ng desperqtel5 in a naCtt sea, sGwd an errant tSaG.",positive,negative,0.9834081530570984,sst2_0011,0.0496,0.9504,Type I,A,1.0,0.9497,0.2877,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0011,v2,"you 'll gasp appalled and laugh outraged and possibly , watching teh spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",positive,negative,0.9555599093437196,sst2_0011,0.0496,0.9504,Type I,A,1.0,0.9497,0.2877,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0011,v3,"you ' ll Nxsp apOWlled and laugh outraged and possibly, wXRching the spec5aclf of a promising young lad tEeadiGg desperate?6 in a naDgy sea, xhes an @rrSnt teQ5.",positive,negative,0.9660730957984924,sst2_0011,0.0496,0.9504,Type I,A,1.0,0.9497,0.2877,dangerous,False,True,exclude_from_training,Stable predictions with strong retention. No flip sensitivity detected.
sst2_0012,base,a movie with a real anarchic flair . ,positive,positive,0.999751627445221,sst2_0012,0.455,0.545,Type III,D,0.0,0.9998,0.0033,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0012,v1,a movie Di5h a real anqrchJc vPair.,positive,negative,0.9932039976119996,sst2_0012,0.455,0.545,Type III,D,0.0,0.9998,0.0033,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0012,v2,a movie with a real anarchic flair . .,positive,positive,0.9997411370277404,sst2_0012,0.455,0.545,Type III,D,0.0,0.9998,0.0033,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0012,v3,a movie @itn a resp anarchkd flair.,positive,positive,0.994750440120697,sst2_0012,0.455,0.545,Type III,D,0.0,0.9998,0.0033,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0013,base,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,positive,positive,0.998043179512024,sst2_0013,0.563,0.437,Type III,D,0.0,0.998,0.0204,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
sst2_0013,v1,freWHadillo ' s dark and iol$ing images mav3 a way of pl%inb inFi your subVonsxious lOkF the nLghtmar2 you had a SeeI ago that wo n ' t go WwSy.,positive,negative,0.993036448955536,sst2_0013,0.563,0.437,Type III,D,0.0,0.998,0.0204,hard,False,False,curriculum_learning,Frequent label flips combined with poor retention.
